start_Ma,end_Ma,polarity,direction
0,0.78,1,normal
0.78,0.99,-1,reversed
0.99,1.07,1,normal
1.07,1.77,-1,reversed
1.77,1.95,1,normal
1.95,2.14,-1,reversed
2.14,2.15,1,normal
2.15,2.581,-1,reversed
2.581,3.04,1,normal
3.04,3.11,-1,reversed
3.11,3.22,1,normal
3.22,3.33,-1,reversed
3.33,3.58,1,normal
3.58,4.18,-1,reversed
4.18,4.29,1,normal
4.29,4.48,-1,reversed
4.48,4.62,1,normal
4.62,4.8,-1,reversed
4.8,4.89,1,normal
4.89,4.98,-1,reversed
4.98,5.23,1,normal
5.23,5.894,-1,reversed
5.894,6.137,1,normal
6.137,6.269,-1,reversed
6.269,6.567,1,normal
6.567,6.935,-1,reversed
6.935,7.091,1,normal
7.091,7.135,-1,reversed
7.135,7.17,1,normal
7.17,7.341,-1,reversed
7.341,7.375,1,normal
7.375,7.432,-1,reversed
7.432,7.562,1,normal
7.562,7.65,-1,reversed
7.65,8.072,1,normal
8.072,8.225,-1,reversed
8.225,8.257,1,normal
8.257,8.699,-1,reversed
8.699,9.025,1,normal
9.025,9.23,-1,reversed
9.23,9.308,1,normal
9.308,9.58,-1,reversed
9.58,9.642,1,normal
9.642,9.74,-1,reversed
9.74,9.88,1,normal
9.88,9.92,-1,reversed
9.92,10.949,1,normal
10.949,11.052,-1,reversed
11.052,11.099,1,normal
11.099,11.476,-1,reversed
11.476,11.531,1,normal
11.531,11.935,-1,reversed
11.935,12.078,1,normal
12.078,12.184,-1,reversed
12.184,12.401,1,normal
12.401,12.678,-1,reversed
12.678,12.708,1,normal
12.708,12.775,-1,reversed
12.775,12.819,1,normal
12.819,12.991,-1,reversed
12.991,13.139,1,normal
13.139,13.302,-1,reversed
13.302,13.51,1,normal
13.51,13.703,-1,reversed
13.703,14.076,1,normal
14.076,14.178,-1,reversed
14.178,14.612,1,normal
14.612,14.8,-1,reversed
14.8,14.888,1,normal
14.888,15.034,-1,reversed
15.034,15.155,1,normal
15.155,16.014,-1,reversed
16.014,16.293,1,normal
16.293,16.327,-1,reversed
16.327,16.488,1,normal
16.488,16.556,-1,reversed
16.556,16.726,1,normal
16.726,17.277,-1,reversed
17.277,17.615,1,normal
17.615,18.281,-1,reversed
18.281,18.781,1,normal
18.781,19.048,-1,reversed
19.048,20.131,1,normal
20.131,20.518,-1,reversed
20.518,20.725,1,normal
20.725,20.996,-1,reversed
20.996,21.32,1,normal
21.32,21.768,-1,reversed
21.768,21.859,1,normal
21.859,22.151,-1,reversed
22.151,22.248,1,normal
22.248,22.459,-1,reversed
22.459,22.493,1,normal
22.493,22.588,-1,reversed
22.588,22.75,1,normal
22.75,22.804,-1,reversed
22.804,23.069,1,normal
23.069,23.353,-1,reversed
23.353,23.535,1,normal
23.535,23.677,-1,reversed
23.677,23.8,1,normal
23.8,23.999,-1,reversed
23.999,24.118,1,normal
24.118,24.73,-1,reversed
24.73,24.781,1,normal
24.781,24.835,-1,reversed
24.835,25.183,1,normal
25.183,25.496,-1,reversed
25.496,25.648,1,normal
25.648,25.823,-1,reversed
25.823,25.951,1,normal
25.951,25.992,-1,reversed
25.992,26.554,1,normal
26.554,27.027,-1,reversed
27.027,27.972,1,normal
27.972,28.283,-1,reversed
28.283,28.512,1,normal
28.512,28.578,-1,reversed
28.578,28.745,1,normal
28.745,29.401,-1,reversed
29.401,29.662,1,normal
29.662,29.765,-1,reversed
29.765,30.098,1,normal
30.098,30.479,-1,reversed
30.479,30.939,1,normal
30.939,33.058,-1,reversed
33.058,33.545,1,normal
33.545,34.655,-1,reversed
34.655,34.94,1,normal
34.94,35.343,-1,reversed
35.343,35.526,1,normal
35.526,35.685,-1,reversed
35.685,36.341,1,normal
36.341,36.618,-1,reversed
36.618,37.473,1,normal
37.473,37.604,-1,reversed
37.604,37.848,1,normal
37.848,37.92,-1,reversed
37.92,38.113,1,normal
38.113,38.426,-1,reversed
38.426,39.552,1,normal
39.552,39.631,-1,reversed
39.631,40.13,1,normal
40.13,41.257,-1,reversed
41.257,41.521,1,normal
41.521,42.536,-1,reversed
42.536,43.789,1,normal
43.789,46.264,-1,reversed
46.264,47.906,1,normal
47.906,49.037,-1,reversed
49.037,49.714,1,normal
49.714,50.778,-1,reversed
50.778,50.946,1,normal
50.946,51.047,-1,reversed
51.047,51.743,1,normal
51.743,52.364,-1,reversed
52.364,52.663,1,normal
52.663,52.757,-1,reversed
52.757,52.801,1,normal
52.801,52.903,-1,reversed
52.903,53.347,1,normal
53.347,55.904,-1,reversed
55.904,56.391,1,normal
56.391,57.554,-1,reversed
57.554,57.911,1,normal
57.911,60.92,-1,reversed
60.92,61.276,1,normal
61.276,62.499,-1,reversed
62.499,63.634,1,normal
63.634,63.976,-1,reversed
63.976,64.745,1,normal
64.745,65.578,-1,reversed
65.578,67.61,1,normal
67.61,67.735,-1,reversed
67.735,68.737,1,normal
68.737,71.071,-1,reversed
71.071,71.338,1,normal
71.338,71.587,-1,reversed
71.587,73.004,1,normal
73.004,73.291,-1,reversed
73.291,73.374,1,normal
73.374,73.619,-1,reversed
73.619,79.075,1,normal
79.075,83.0,-1,reversed
83.0,120.6,1,normal
