"lon","lat","heat_flow_mW_m2","name","reference","id"
"-40.5667","10","180","SP-7","VonHerzen_etal._1970","R24-086480"
"-40.5667","10","180","SP-7","Ludwig_Rabinowitz_1975","R24-060576"
"-40.5667","10","180","SP-7","Folinsbee_1969","R24-035385"
"-59.1142","10.0492","157","CARAM-15","Deville_etal._2006","R24-031011"
"-59.1333","10.052","39","CARAM-16a","Deville_etal._2006","R24-031012"
"-59.1311","10.052","40","CARAM-16b","Deville_etal._2006","R24-031013"
"-59.1288","10.052","43","CARAM-16c","Deville_etal._2006","R24-031014"
"-59.1158","10.0555","133","CARAM-14","Deville_etal._2006","R24-031010"
"-59.1017","10.0597","77","CARAM-11","Deville_etal._2006","R24-031007"
"-58.3067","10.2153","34","CARAM-07","Deville_etal._2006","R24-031004"
"-58.2","10.2417","99","CARAM-21","Deville_etal._2006","R24-031017"
"-25.3667","10.25","58","V19-174","Langseth_etal._1966","R24-053063"
"-41.3167","10.35","60","VFZ-12","Folinsbee_1969","R24-035390"
"-41.3167","10.35","60","VFZ-12","Ludwig_Rabinowitz_1975","R24-060603"
"-41.3167","10.35","60","VFZ-12","VonHerzen_etal._1970","R24-086485"
"-45.315","10.3583","38","C16-38","Abbott_2008","R24-000476"
"-44.3","10.3667","39","VFZ-5","Ludwig_Rabinowitz_1975","R24-060607"
"-44.3","10.3667","39","VFZ-5","Folinsbee_1969","R24-035397"
"-44.3","10.3667","39","VFZ-5","VonHerzen_etal._1970","R24-086492"
"-42.85","10.3667","212","SP-6","Folinsbee_1969","R24-035384"
"-42.85","10.3667","212","SP-6","Ludwig_Rabinowitz_1975","R24-060575"
"-42.85","10.3667","212","SP-6","VonHerzen_etal._1970","R24-086479"
"-42.425","10.3817","23","V32-6","Langseth_Hobart_1976","R24-054258"
"-42.425","10.3817","23","V32-6","Langseth_Hobart_1976","R24-054257"
"-42.425","10.3817","23","V32-6","Ludwig_Rabinowitz_1975","R24-060600"
"-58.8947","10.385","27","CARAM-08","Deville_etal._2006","R24-031005"
"-57.9917","10.4083","96","CARAM-22","Deville_etal._2006","R24-031018"
"-44.6667","10.45","27.7","V32-9","Abbott_2008","R24-001811"
"-44.67","10.4517","28","V32-009","Ludwig_Rabinowitz_1975","R24-060598"
"-58.0248","10.4567","46","CARAM-24","Deville_etal._2006","R24-031019"
"-57.9233","10.4607","76","CARAM-05","Deville_etal._2006","R24-031003"
"-58.7375","10.49","30","CARAM-18","Deville_etal._2006","R24-031016"
"-49.223","10.52","53","C16-36","LDEO_2004","R24-055163"
"-49.2217","10.52","52.5","C16-36","Abbott_2008","R24-000475"
"-50.1617","10.5633","31.8","C11-7","Abbott_2008","R24-000309"
"-59.1938","10.5656","52","CARAM-IO","Deville_etal._2006","R24-031021"
"-44.8667","10.5667","20","SP-1","Folinsbee_1969","R24-035376"
"-44.8667","10.5667","20","SP-1","VonHerzen_etal._1970","R24-086471"
"-58.7855","10.5732","36","CARAM-17","Deville_etal._2006","R24-031015"
"-59.1585","10.6172","57","CARAM-09","Deville_etal._2006","R24-031006"
"-54.347","10.6267","69","C16-30","LDEO_2004","R24-055161"
"-57.8517","10.6323","46","CARAM-25","Deville_etal._2006","R24-031020"
"-50","10.65","67","V26-51","Langseth_etal._1974","R24-053403"
"-54.307","10.6667","60","C16-29","LDEO_2004","R24-055160"
"-42.585","10.7217","288.65","RC17-17","Langseth_Hobart_1976","R24-054238"
"-42.585","10.7217","288.65","RC17-17","Langseth_Hobart_1976","R24-054237"
"-42.585","10.7217","288.65","RC17-17","Herman_etal._1977","R24-047305"
"-42.585","10.7217","288.65","RC17-17","Ludwig_Rabinowitz_1975","R24-060563"
"-41.5217","10.725","131.1","RC17-12","Ludwig_Rabinowitz_1975","R24-060558"
"-41.5217","10.725","131.1","RC17-12","Herman_etal._1977","R24-047300"
"-41.5217","10.725","131.1","RC17-12","Langseth_Hobart_1976","R24-054227"
"-41.5217","10.725","131.1","RC17-12","Langseth_Hobart_1976","R24-054228"
"-41.565","10.74","138","RC17-27","Herman_etal._1977","R24-047313"
"-41.565","10.74","138","RC17-27","Ludwig_Rabinowitz_1975","R24-060571"
"-41.565","10.74","138","RC17-27","Langseth_Hobart_1976","R24-054253"
"-41.565","10.74","138","RC17-27","Langseth_Hobart_1976","R24-054254"
"-42.5267","10.7417","201.25","RC17-15","Langseth_Hobart_1976","R24-054234"
"-42.5267","10.7417","201.25","RC17-15","Herman_etal._1977","R24-047303"
"-42.5267","10.7417","201.25","RC17-15","Langseth_Hobart_1976","R24-054233"
"-42.5267","10.7417","201.25","RC17-15","Ludwig_Rabinowitz_1975","R24-060561"
"-42.4333","10.7417","148.35","V32-4","Langseth_Hobart_1976","R24-054256"
"-42.4333","10.7417","148.35","V32-4","Langseth_Hobart_1976","R24-054255"
"-42.4333","10.7417","148.35","V32-4","Ludwig_Rabinowitz_1975","R24-060599"
"-41.35","10.75","141","V15-8","Langseth_etal._1966","R24-052990"
"-41.35","10.75","141","V15-8","Ludwig_Rabinowitz_1975","R24-060579"
"-41.35","10.75","141","V15-8","Gerard_etal._1962","R24-037275"
"-59.9347","10.7533","24","CARAM-13","Deville_etal._2006","R24-031009"
"-42.3633","10.7733","177.1","V32-8","Ludwig_Rabinowitz_1975","R24-060602"
"-42.3633","10.7733","177.1","V32-8","Langseth_Hobart_1976","R24-054262"
"-42.3633","10.7733","177.1","V32-8","Langseth_Hobart_1976","R24-054261"
"-42.195","10.7783","134.55","V32-7","Ludwig_Rabinowitz_1975","R24-060601"
"-42.195","10.7783","134.55","V32-7","Langseth_Hobart_1976","R24-054259"
"-42.195","10.7783","134.55","V32-7","Langseth_Hobart_1976","R24-054260"
"-41.2417","10.7917","192.05","RC17-26","Herman_etal._1977","R24-047312"
"-41.2417","10.7917","192.05","RC17-26","Langseth_Hobart_1976","R24-054251"
"-41.2417","10.7917","192.05","RC17-26","Langseth_Hobart_1976","R24-054252"
"-41.2417","10.7917","192.05","RC17-26","Ludwig_Rabinowitz_1975","R24-060570"
"-50.9333","10.8","52","C13-64","Bookman_etal._1972","R24-022756"
"-43.2","10.8","112","C08-3","Ludwig_Rabinowitz_1975","R24-060553"
"-43.2","10.8","112","C08-3","Langseth_etal._1966","R24-052951"
"-42.9333","10.8","126","VFZ-8","VonHerzen_etal._1970","R24-086494"
"-42.9333","10.8","126","VFZ-8","Folinsbee_1969","R24-035399"
"-42.9333","10.8","126","VFZ-8","Ludwig_Rabinowitz_1975","R24-060608"
"-43.9467","10.81","147.2","RC17-18","Ludwig_Rabinowitz_1975","R24-060564"
"-43.9467","10.81","147.2","RC17-18","Langseth_Hobart_1976","R24-054239"
"-43.9467","10.81","147.2","RC17-18","Langseth_Hobart_1976","R24-054240"
"-43.9467","10.81","147.2","RC17-18","Herman_etal._1977","R24-047306"
"-41.5867","10.825","171.35","RC17-14","Herman_etal._1977","R24-047302"
"-41.5867","10.825","171.35","RC17-14","Ludwig_Rabinowitz_1975","R24-060560"
"-41.5867","10.825","171.35","RC17-14","Langseth_Hobart_1976","R24-054231"
"-41.5867","10.825","171.35","RC17-14","Langseth_Hobart_1976","R24-054232"
"-41.1967","10.8283","184","RC17-13","Herman_etal._1977","R24-047301"
"-41.1967","10.8283","184","RC17-13","Ludwig_Rabinowitz_1975","R24-060559"
"-41.1967","10.8283","184","RC17-13","Langseth_Hobart_1976","R24-054229"
"-41.1967","10.8283","184","RC17-13","Langseth_Hobart_1976","R24-054230"
"-44.1667","10.8333","121","VFZ-4","Folinsbee_1969","R24-035396"
"-44.1667","10.8333","121","VFZ-4","VonHerzen_etal._1970","R24-086491"
"-44.1667","10.8333","121","VFZ-4","Ludwig_Rabinowitz_1975","R24-060606"
"-43.6417","10.8417","147.2","RC17-21","Herman_etal._1977","R24-047309"
"-43.6417","10.8417","147.2","RC17-21","Ludwig_Rabinowitz_1975","R24-060567"
"-43.6417","10.8417","147.2","RC17-21","Langseth_Hobart_1976","R24-054245"
"-43.6417","10.8417","147.2","RC17-21","Langseth_Hobart_1976","R24-054246"
"-42.58","10.8417","299","RC17-16","Ludwig_Rabinowitz_1975","R24-060562"
"-42.58","10.8417","299","RC17-16","Herman_etal._1977","R24-047304"
"-42.58","10.8417","299","RC17-16","Langseth_Hobart_1976","R24-054235"
"-42.58","10.8417","299","RC17-16","Langseth_Hobart_1976","R24-054236"
"-44.575","10.8433","75.9","RC17-19","Ludwig_Rabinowitz_1975","R24-060565"
"-44.575","10.8433","75.9","RC17-19","Herman_etal._1977","R24-047307"
"-44.575","10.8433","75.9","RC17-19","Langseth_Hobart_1976","R24-054242"
"-44.575","10.8433","75.9","RC17-19","Langseth_Hobart_1976","R24-054241"
"-44.1333","10.85","135","SP-3","Folinsbee_1969","R24-035382"
"-44.1333","10.85","135","SP-3","VonHerzen_etal._1970","R24-086477"
"-44.1333","10.85","135","SP-3","Ludwig_Rabinowitz_1975","R24-060573"
"-43.9233","10.865","141.45","RC17-20","Langseth_Hobart_1976","R24-054244"
"-43.9233","10.865","141.45","RC17-20","Langseth_Hobart_1976","R24-054243"
"-43.9233","10.865","141.45","RC17-20","Herman_etal._1977","R24-047308"
"-43.9233","10.865","141.45","RC17-20","Ludwig_Rabinowitz_1975","R24-060566"
"-43.6717","10.8767","133.4","RC17-24","Langseth_Hobart_1976","R24-054249"
"-43.6717","10.8767","133.4","RC17-24","Langseth_Hobart_1976","R24-054250"
"-43.6717","10.8767","133.4","RC17-24","Herman_etal._1977","R24-047311"
"-43.6717","10.8767","133.4","RC17-24","Ludwig_Rabinowitz_1975","R24-060569"
"-43.7167","10.8817","28","V22-7","Abbott_2008","R24-001570"
