lon,lat,heat_flow_mW_m2,name,reference,id,ridge_lon,signed_distance_km,distance_km
-40.5667,10.0,180.0,SP-7,VonHerzen_etal._1970,R24-086480,-41.7,124.10280765241552,124.10280765241552
-40.5667,10.0,180.0,SP-7,Ludwig_Rabinowitz_1975,R24-060576,-41.7,124.10280765241552,124.10280765241552
-40.5667,10.0,180.0,SP-7,Folinsbee_1969,R24-035385,-41.7,124.10280765241552,124.10280765241552
-59.1142,10.0492,157.0,CARAM-15,Deville_etal._2006,R24-031011,-41.404799999999994,-1938.9858639839056,1938.9858639839056
-59.1333,10.052,39.0,CARAM-16a,Deville_etal._2006,R24-031012,-41.388000000000005,-1942.8996934178206,1942.8996934178206
-59.1311,10.052,40.0,CARAM-16b,Deville_etal._2006,R24-031013,-41.388000000000005,-1942.658819534285,1942.658819534285
-59.1288,10.052,43.0,CARAM-16c,Deville_etal._2006,R24-031014,-41.388000000000005,-1942.4069968378599,1942.4069968378599
-59.1158,10.0555,133.0,CARAM-14,Deville_etal._2006,R24-031010,-41.367,-1943.2618556461116,1943.2618556461116
-59.1017,10.0597,77.0,CARAM-11,Deville_etal._2006,R24-031007,-41.341800000000006,-1944.451879874681,1944.451879874681
-58.3067,10.2153,34.0,CARAM-07,Deville_etal._2006,R24-031004,-41.1,-1882.9699359185356,1882.9699359185356
-58.2,10.2417,99.0,CARAM-21,Deville_etal._2006,R24-031017,-41.1,-1871.1379261544726,1871.1379261544726
-25.3667,10.25,58.0,V19-174,Langseth_etal._1966,R24-053063,-41.1,1721.5440638830153,1721.5440638830153
-41.3167,10.35,60.0,VFZ-12,Folinsbee_1969,R24-035390,-41.1,-23.703882250972207,23.703882250972207
-41.3167,10.35,60.0,VFZ-12,Ludwig_Rabinowitz_1975,R24-060603,-41.1,-23.703882250972207,23.703882250972207
-41.3167,10.35,60.0,VFZ-12,VonHerzen_etal._1970,R24-086485,-41.1,-23.703882250972207,23.703882250972207
-45.315,10.3583,38.0,C16-38,Abbott_2008,R24-000476,-41.1,-461.04854321844226,461.04854321844226
-44.3,10.3667,39.0,VFZ-5,Ludwig_Rabinowitz_1975,R24-060607,-41.1,-350.0156078206387,350.0156078206387
-44.3,10.3667,39.0,VFZ-5,Folinsbee_1969,R24-035397,-41.1,-350.0156078206387,350.0156078206387
-44.3,10.3667,39.0,VFZ-5,VonHerzen_etal._1970,R24-086492,-41.1,-350.0156078206387,350.0156078206387
-42.85,10.3667,212.0,SP-6,Folinsbee_1969,R24-035384,-41.1,-191.41478552691206,191.41478552691206
-42.85,10.3667,212.0,SP-6,Ludwig_Rabinowitz_1975,R24-060575,-41.1,-191.41478552691206,191.41478552691206
-42.85,10.3667,212.0,SP-6,VonHerzen_etal._1970,R24-086479,-41.1,-191.41478552691206,191.41478552691206
-42.425,10.3817,23.0,V32-6,Langseth_Hobart_1976,R24-054258,-41.1,-144.92139175120903,144.92139175120903
