lon,lat,anomaly_nT,source
-50,20,-7.97844,EMAG2v3
-49,20,-6.27786,EMAG2v3
-48,20,-0.374677,EMAG2v3
-47,20,-40.2415,EMAG2v3
-46,20,-81.5041,EMAG2v3
-45,20,3.86957,EMAG2v3
-44,20,-2.49089,EMAG2v3
-43,20,31.4327,EMAG2v3
-42,20,21.4078,EMAG2v3
-41,20,10.1925,EMAG2v3
-40,20,-4.17529,EMAG2v3
-39,20,55.456,EMAG2v3
-38,20,45.8151,EMAG2v3
-37,20,2.75339,EMAG2v3
-36,20,-43.2793,EMAG2v3
-35,20,-9.32793,EMAG2v3
-50,22,-6.53153,EMAG2v3
-49,22,-8.94732,EMAG2v3
-48,22,60.6873,EMAG2v3
-47,22,34.2295,EMAG2v3
-46,22,-1.28222,EMAG2v3
-45,22,17.973,EMAG2v3
-44,22,11.6401,EMAG2v3
-43,22,22.3754,EMAG2v3
-42,22,30.1738,EMAG2v3
-41,22,-29.2165,EMAG2v3
-40,22,18.5726,EMAG2v3
-39,22,-3.05477,EMAG2v3
-38,22,-3.56079,EMAG2v3
-37,22,70.5029,EMAG2v3
-36,22,-24.3759,EMAG2v3
-35,22,70.0246,EMAG2v3
-50,24,-46.0639,EMAG2v3
-49,24,46.0676,EMAG2v3
-48,24,27.24,EMAG2v3
-47,24,-26.4302,EMAG2v3
-46,24,-29.1573,EMAG2v3
-45,24,-10.7036,EMAG2v3
-44,24,-4.90944,EMAG2v3
-43,24,7.13091,EMAG2v3
-42,24,3.58116,EMAG2v3
-41,24,-6.60341,EMAG2v3
-40,24,31.7677,EMAG2v3
-39,24,46.0893,EMAG2v3
-38,24,-9.58589,EMAG2v3
-37,24,-9.58589,EMAG2v3
-36,24,-63.1998,EMAG2v3
-35,24,4.28398,EMAG2v3
-50,26,9.71511,EMAG2v3
-49,26,-21.3173,EMAG2v3
-48,26,-19.2901,EMAG2v3
-47,26,-12.9524,EMAG2v3
-46,26,19.6468,EMAG2v3
-45,26,-32.3881,EMAG2v3
-44,26,1.5625,EMAG2v3
-43,26,3.31756,EMAG2v3
-42,26,4.93566,EMAG2v3
-41,26,-7.5599,EMAG2v3
-40,26,-7.43684,EMAG2v3
-39,26,76.4211,EMAG2v3
-38,26,19.9955,EMAG2v3
-37,26,35.6494,EMAG2v3
-36,26,31.4171,EMAG2v3
-35,26,-32.399,EMAG2v3
-50,28,-19.7925,EMAG2v3
-49,28,13.5344,EMAG2v3
-48,28,-3.42565,EMAG2v3
-47,28,-30.5197,EMAG2v3
-46,28,-23.9928,EMAG2v3
-45,28,13.5412,EMAG2v3
-44,28,64.6038,EMAG2v3
-43,28,-25.5952,EMAG2v3
-42,28,4.83566,EMAG2v3
-41,28,35.4153,EMAG2v3
-40,28,35.6987,EMAG2v3
-39,28,-23.9414,EMAG2v3
-38,28,31.9301,EMAG2v3
-37,28,-62.8151,EMAG2v3
-36,28,-7.23986,EMAG2v3
-35,28,31.2042,EMAG2v3
-50,30,11.0449,EMAG2v3
-49,30,-50.2946,EMAG2v3
-48,30,25.1109,EMAG2v3
-47,30,-54.1866,EMAG2v3
-46,30,-2.30454,EMAG2v3
-45,30,-28.1968,EMAG2v3
-44,30,-13.752,EMAG2v3
-43,30,3.36333,EMAG2v3
-42,30,122.496,EMAG2v3
-41,30,-33.8338,EMAG2v3
-40,30,-5.20685,EMAG2v3
-39,30,33.5046,EMAG2v3
-38,30,-12.2446,EMAG2v3
-37,30,1.42054,EMAG2v3
-36,30,86.6052,EMAG2v3
-35,30,9.60279,EMAG2v3
