lon,lat,chron,anomaly_end,quality,age_Ma,reference,doi,method,source
-46.299999999999976,13.6,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.35,13.8,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.36,14.0,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-43.77,14.0,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.38,14.07,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-43.70000000000001,14.15,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.38,14.2,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-43.68,14.33,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.369999999999976,14.4,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-43.66,14.52,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.35000000000001,14.55,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.29999999999999,14.600000000000001,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-34.8,14.600000000000001,C33n,o,1,79.075,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.24999999999998,14.650000000000002,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-43.6,14.650000000000002,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-43.6,14.67,C4Ar.2r,y,1,9.308,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-39.7,14.800000000000002,C22n,o,1,49.714,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
