lon,lat,depth_m,source
-51.0,20.0,-4819.5,ETOPO_2022_v1_15s_bed_elev
-50.9,20.0,-5223.32,ETOPO_2022_v1_15s_bed_elev
-50.8,20.0,-4926.82,ETOPO_2022_v1_15s_bed_elev
-50.7,20.0,-4747.13,ETOPO_2022_v1_15s_bed_elev
-50.6,20.0,-4589.82,ETOPO_2022_v1_15s_bed_elev
-50.5,20.0,-4272.0,ETOPO_2022_v1_15s_bed_elev
-50.4,20.0,-4304.49,ETOPO_2022_v1_15s_bed_elev
-50.3,20.0,-4412.95,ETOPO_2022_v1_15s_bed_elev
-50.2,20.0,-4378.54,ETOPO_2022_v1_15s_bed_elev
-50.1,20.0,-4603.99,ETOPO_2022_v1_15s_bed_elev
-50.0,20.0,-4364.86,ETOPO_2022_v1_15s_bed_elev
-49.9,20.0,-4312.42,ETOPO_2022_v1_15s_bed_elev
-49.8,20.0,-4513.99,ETOPO_2022_v1_15s_bed_elev
-49.7,20.0,-4570.24,ETOPO_2022_v1_15s_bed_elev
-49.6,20.0,-4386.76,ETOPO_2022_v1_15s_bed_elev
-49.5,20.0,-4467.84,ETOPO_2022_v1_15s_bed_elev
-49.4,20.0,-4455.7,ETOPO_2022_v1_15s_bed_elev
-49.3,20.0,-4500.77,ETOPO_2022_v1_15s_bed_elev
-49.2,20.0,-4586.25,ETOPO_2022_v1_15s_bed_elev
-49.1,20.0,-4257.31,ETOPO_2022_v1_15s_bed_elev
-49.0,20.0,-4322.86,ETOPO_2022_v1_15s_bed_elev
-48.9,20.0,-4308.07,ETOPO_2022_v1_15s_bed_elev
-48.8,20.0,-4275.69,ETOPO_2022_v1_15s_bed_elev
-48.7,20.0,-4328.07,ETOPO_2022_v1_15s_bed_elev
-48.6,20.0,-4169.62,ETOPO_2022_v1_15s_bed_elev
-48.5,20.0,-4211.01,ETOPO_2022_v1_15s_bed_elev
-48.4,20.0,-4158.23,ETOPO_2022_v1_15s_bed_elev
-48.3,20.0,-4180.29,ETOPO_2022_v1_15s_bed_elev
-48.2,20.0,-4202.58,ETOPO_2022_v1_15s_bed_elev
-48.1,20.0,-4164.47,ETOPO_2022_v1_15s_bed_elev
-48.0,20.0,-4113.32,ETOPO_2022_v1_15s_bed_elev
-47.9,20.0,-4091.46,ETOPO_2022_v1_15s_bed_elev
-47.8,20.0,-4106.28,ETOPO_2022_v1_15s_bed_elev
-47.7,20.0,-4017.14,ETOPO_2022_v1_15s_bed_elev
-47.6,20.0,-3900.54,ETOPO_2022_v1_15s_bed_elev
-47.5,20.0,-3981.14,ETOPO_2022_v1_15s_bed_elev
-47.4,20.0,-3935.91,ETOPO_2022_v1_15s_bed_elev
-47.3,20.0,-4027.16,ETOPO_2022_v1_15s_bed_elev
-47.2,20.0,-4094.37,ETOPO_2022_v1_15s_bed_elev
-47.1,20.0,-3616.49,ETOPO_2022_v1_15s_bed_elev
-47.0,20.0,-3578.8,ETOPO_2022_v1_15s_bed_elev
-46.9,20.0,-3547.02,ETOPO_2022_v1_15s_bed_elev
-46.8,20.0,-3513.61,ETOPO_2022_v1_15s_bed_elev
-46.7,20.0,-3351.78,ETOPO_2022_v1_15s_bed_elev
-46.6,20.0,-3430.13,ETOPO_2022_v1_15s_bed_elev
-46.5,20.0,-3527.52,ETOPO_2022_v1_15s_bed_elev
-46.4,20.0,-3624.81,ETOPO_2022_v1_15s_bed_elev
-46.3,20.0,-3709.74,ETOPO_2022_v1_15s_bed_elev
-46.2,20.0,-3531.96,ETOPO_2022_v1_15s_bed_elev
-46.1,20.0,-2730.06,ETOPO_2022_v1_15s_bed_elev
-46.0,20.0,-2877.92,ETOPO_2022_v1_15s_bed_elev
-45.9,20.0,-2893.11,ETOPO_2022_v1_15s_bed_elev
-45.8,20.0,-2963.85,ETOPO_2022_v1_15s_bed_elev
-45.7,20.0,-4100.34,ETOPO_2022_v1_15s_bed_elev
-45.6,20.0,-2894.4,ETOPO_2022_v1_15s_bed_elev
-45.5,20.0,-2966.44,ETOPO_2022_v1_15s_bed_elev
-45.4,20.0,-3210.64,ETOPO_2022_v1_15s_bed_elev
-45.3,20.0,-3377.25,ETOPO_2022_v1_15s_bed_elev
-45.2,20.0,-3507.58,ETOPO_2022_v1_15s_bed_elev
-45.1,20.0,-3439.52,ETOPO_2022_v1_15s_bed_elev
-45.0,20.0,-2984.89,ETOPO_2022_v1_15s_bed_elev
-44.9,20.0,-3097.06,ETOPO_2022_v1_15s_bed_elev
-44.8,20.0,-3344.18,ETOPO_2022_v1_15s_bed_elev
-44.7,20.0,-3596.21,ETOPO_2022_v1_15s_bed_elev
-44.6,20.0,-3445.56,ETOPO_2022_v1_15s_bed_elev
-44.5,20.0,-3343.27,ETOPO_2022_v1_15s_bed_elev
-44.4,20.0,-3414.23,ETOPO_2022_v1_15s_bed_elev
-44.3,20.0,-3482.02,ETOPO_2022_v1_15s_bed_elev
-44.2,20.0,-3547.56,ETOPO_2022_v1_15s_bed_elev
-44.1,20.0,-3851.22,ETOPO_2022_v1_15s_bed_elev
-44.0,20.0,-3863.01,ETOPO_2022_v1_15s_bed_elev
-43.9,20.0,-3729.43,ETOPO_2022_v1_15s_bed_elev
-43.8,20.0,-3916.24,ETOPO_2022_v1_15s_bed_elev
-43.7,20.0,-4083.38,ETOPO_2022_v1_15s_bed_elev
-43.6,20.0,-4023.83,ETOPO_2022_v1_15s_bed_elev
-43.5,20.0,-4038.48,ETOPO_2022_v1_15s_bed_elev
-43.4,20.0,-3978.35,ETOPO_2022_v1_15s_bed_elev
-43.3,20.0,-3945.47,ETOPO_2022_v1_15s_bed_elev
-43.2,20.0,-3955.55,ETOPO_2022_v1_15s_bed_elev
