lon,lat,depth_m,source
-50,26,-4886,ETOPO_2022_v1_15s_bed_elev
-49,26,-3919.68,ETOPO_2022_v1_15s_bed_elev
-48,26,-4295.68,ETOPO_2022_v1_15s_bed_elev
-47,26,-4131.92,ETOPO_2022_v1_15s_bed_elev
-46,26,-4088.19,ETOPO_2022_v1_15s_bed_elev
-45,26,-3982.18,ETOPO_2022_v1_15s_bed_elev
-44,26,-3353.89,ETOPO_2022_v1_15s_bed_elev
-43,26,-3992.93,ETOPO_2022_v1_15s_bed_elev
-42,26,-3729.48,ETOPO_2022_v1_15s_bed_elev
-41,26,-3915,ETOPO_2022_v1_15s_bed_elev
-40,26,-5054.64,ETOPO_2022_v1_15s_bed_elev
-39,26,-4932,ETOPO_2022_v1_15s_bed_elev
-38,26,-4963,ETOPO_2022_v1_15s_bed_elev
-37,26,-5323.87,ETOPO_2022_v1_15s_bed_elev
-36,26,-5586,ETOPO_2022_v1_15s_bed_elev
-35,26,-5536,ETOPO_2022_v1_15s_bed_elev
