lon,lat,depth_m,source
-45.50,26,-3445.87,ETOPO_2022_v1_15s_bed_elev
-45.40,26,-3799.08,ETOPO_2022_v1_15s_bed_elev
-45.30,26,-3641.65,ETOPO_2022_v1_15s_bed_elev
-45.20,26,-3635.64,ETOPO_2022_v1_15s_bed_elev
-45.10,26,-3084.00,ETOPO_2022_v1_15s_bed_elev
-45.00,26,-3982.18,ETOPO_2022_v1_15s_bed_elev
-44.98,26,-3743.67,ETOPO_2022_v1_15s_bed_elev
-44.96,26,-3820.43,ETOPO_2022_v1_15s_bed_elev
-44.94,26,-4111.98,ETOPO_2022_v1_15s_bed_elev
-44.92,26,-4379.70,ETOPO_2022_v1_15s_bed_elev
-44.90,26,-4375.20,ETOPO_2022_v1_15s_bed_elev
-44.88,26,-4016.42,ETOPO_2022_v1_15s_bed_elev
-44.86,26,-4064.95,ETOPO_2022_v1_15s_bed_elev
-44.84,26,-4005.25,ETOPO_2022_v1_15s_bed_elev
-44.82,26,-3593.49,ETOPO_2022_v1_15s_bed_elev
-44.80,26,-3349.08,ETOPO_2022_v1_15s_bed_elev
-44.78,26,-3140.72,ETOPO_2022_v1_15s_bed_elev
-44.76,26,-3526.67,ETOPO_2022_v1_15s_bed_elev
-44.74,26,-3203.77,ETOPO_2022_v1_15s_bed_elev
-44.72,26,-3020.51,ETOPO_2022_v1_15s_bed_elev
-44.70,26,-2570.03,ETOPO_2022_v1_15s_bed_elev
-44.68,26,-2645.32,ETOPO_2022_v1_15s_bed_elev
-44.66,26,-2571.67,ETOPO_2022_v1_15s_bed_elev
-44.64,26,-3042.05,ETOPO_2022_v1_15s_bed_elev
-44.62,26,-3346.25,ETOPO_2022_v1_15s_bed_elev
-44.60,26,-3501.74,ETOPO_2022_v1_15s_bed_elev
-44.58,26,-3645.44,ETOPO_2022_v1_15s_bed_elev
-44.56,26,-3865.98,ETOPO_2022_v1_15s_bed_elev
-44.54,26,-3602.75,ETOPO_2022_v1_15s_bed_elev
-44.52,26,-3261.95,ETOPO_2022_v1_15s_bed_elev
-44.50,26,-3112.08,ETOPO_2022_v1_15s_bed_elev
-44.48,26,-3502.17,ETOPO_2022_v1_15s_bed_elev
-44.46,26,-3786.65,ETOPO_2022_v1_15s_bed_elev
-44.44,26,-3445.15,ETOPO_2022_v1_15s_bed_elev
-44.42,26,-3126.00,ETOPO_2022_v1_15s_bed_elev
-44.40,26,-2906.59,ETOPO_2022_v1_15s_bed_elev
-44.30,26,-3358.45,ETOPO_2022_v1_15s_bed_elev
-44.20,26,-3266.56,ETOPO_2022_v1_15s_bed_elev
-44.10,26,-2816.68,ETOPO_2022_v1_15s_bed_elev
-44.00,26,-3353.89,ETOPO_2022_v1_15s_bed_elev
-43.90,26,-3853.50,ETOPO_2022_v1_15s_bed_elev
-43.80,26,-3878.62,ETOPO_2022_v1_15s_bed_elev
-43.70,26,-3621.50,ETOPO_2022_v1_15s_bed_elev
-43.60,26,-3977.00,ETOPO_2022_v1_15s_bed_elev
-43.50,26,-3614.03,ETOPO_2022_v1_15s_bed_elev
