lon,depth_m,depth_abs_m,travel_time_s
-51.0,-4990.14,4990.14,6.65352
-50.9,-5182.73,5182.73,6.910306666666666
-50.8,-5013.07,5013.07,6.684093333333333
-50.7,-5013.92,5013.92,6.685226666666667
-50.6,-4692.2,4692.2,6.256266666666667
-50.5,-4512.72,4512.72,6.01696
-50.4,-4526.68,4526.68,6.035573333333334
-50.3,-4710.54,4710.54,6.28072
-50.2,-4741.78,4741.78,6.322373333333333
-50.1,-4634.22,4634.22,6.17896
-50.0,-4971.35,4971.35,6.628466666666667
-49.9,-5010.91,5010.91,6.681213333333333
-49.8,-4368.3,4368.3,5.8244
-49.7,-4436.37,4436.37,5.91516
-49.6,-4574.51,4574.51,6.099346666666667
-49.5,-4659.63,4659.63,6.21284
-49.4,-4742.22,4742.22,6.32296
-49.3,-4944.31,4944.31,6.592413333333334
-49.2,-5050.63,5050.63,6.734173333333334
-49.1,-4705.13,4705.13,6.273506666666667
-49.0,-4324.86,4324.86,5.76648
-48.9,-4312.97,4312.97,5.750626666666667
-48.8,-4643.41,4643.41,6.191213333333333
-48.7,-5002.92,5002.92,6.67056
-48.6,-4807.04,4807.04,6.409386666666666
-48.5,-4647.94,4647.94,6.197253333333332
-48.4,-4425.74,4425.74,5.900986666666666
-48.3,-4167.36,4167.36,5.55648
-48.2,-4308.29,4308.29,5.744386666666666
-48.1,-4203.4,4203.4,5.6045333333333325
-48.0,-4290.58,4290.58,5.720773333333333
-47.9,-4480.72,4480.72,5.974293333333334
-47.8,-4176.44,4176.44,5.568586666666667
-47.7,-4183.11,4183.11,5.5774799999999995
-47.6,-4087.28,4087.28,5.449706666666667
-47.5,-3945.83,3945.83,5.261106666666667
-47.4,-3916.8,3916.8,5.2224
-47.3,-4066.48,4066.48,5.421973333333334
-47.2,-4055.1,4055.1,5.4068
-47.1,-3888.8,3888.8,5.185066666666667
-47.0,-4053.71,4053.71,5.404946666666667
-46.9,-3741.39,3741.39,4.988519999999999
-46.8,-3539.7,3539.7,4.7196
-46.7,-3879.5,3879.5,5.172666666666666
-46.6,-3907.78,3907.78,5.210373333333334
-46.5,-3966.44,3966.44,5.288586666666666
-46.4,-3938.6,3938.6,5.2514666666666665
-46.3,-3377.2,3377.2,4.502933333333333
-46.2,-3617.96,3617.96,4.823946666666667
-46.1,-3873.81,3873.81,5.16508
-46.0,-4066.04,4066.04,5.421386666666667
-45.9,-3998.23,3998.23,5.330973333333334
-45.8,-3915.6,3915.6,5.2208
-45.7,-4197.57,4197.57,5.59676
-45.6,-3655.88,3655.88,4.874506666666667
-45.5,-3454.24,3454.24,4.605653333333333
-45.4,-3441.25,3441.25,4.588333333333333
-45.3,-3473.21,3473.21,4.6309466666666665
-45.2,-3526.71,3526.71,4.70228
-45.1,-3216.42,3216.42,4.28856
-45.0,-3751.92,3751.92,5.00256
-44.9,-4219.5,4219.5,5.626
-44.8,-3482.77,3482.77,4.643693333333333
-44.7,-2615.3,2615.3,3.4870666666666668
-44.6,-3237.94,3237.94,4.317253333333333
-44.5,-3377.09,3377.09,4.502786666666667
-44.4,-3468.9,3468.9,4.6252
-44.3,-3313.54,3313.54,4.418053333333333
-44.2,-3200.38,3200.38,4.267173333333333
-44.1,-2967.24,2967.24,3.95632
-44.0,-3303.08,3303.08,4.404106666666666
-43.9,-3729.55,3729.55,4.972733333333333
-43.8,-3770.26,3770.26,5.0270133333333336
-43.7,-3539.42,3539.42,4.719226666666667
-43.6,-3755.84,3755.84,5.007786666666667
-43.5,-3877.67,3877.67,5.170226666666667
-43.4,-3460.62,3460.62,4.61416
-43.3,-3335.59,3335.59,4.447453333333334
-43.2,-3675.61,3675.61,4.900813333333334
-43.1,-4132.08,4132.08,5.50944
-43.0,-3866.83,3866.83,5.155773333333333
-42.9,-3425.51,3425.51,4.567346666666667
-42.8,-3578.05,3578.05,4.770733333333333
-42.7,-3445.64,3445.64,4.594186666666666
-42.6,-3565.17,3565.17,4.75356
-42.5,-3837.88,3837.88,5.117173333333334
-42.4,-3861.83,3861.83,5.1491066666666665
-42.3,-3748.51,3748.51,4.998013333333334
-42.2,-3748.9,3748.9,4.9985333333333335
-42.1,-4153.06,4153.06,5.537413333333334
-42.0,-3860.8,3860.8,5.147733333333334
-41.9,-3919.5,3919.5,5.226
-41.8,-3801.09,3801.09,5.06812
-41.7,-4178.21,4178.21,5.570946666666667
-41.6,-4022.97,4022.97,5.36396
-41.5,-4180.5,4180.5,5.574
-41.4,-4297.78,4297.78,5.730373333333333
-41.3,-4114.56,4114.56,5.48608
-41.2,-3864.75,3864.75,5.153
-41.1,-3875.93,3875.93,5.167906666666666
-41.0,-3906.88,3906.88,5.209173333333333
-40.9,-4137.75,4137.75,5.517
-40.8,-4311.41,4311.41,5.748546666666667
-40.7,-4450.49,4450.49,5.933986666666667
-40.6,-4031.3,4031.3,5.375066666666667
-40.5,-4130.94,4130.94,5.5079199999999995
-40.4,-4517.79,4517.79,6.02372
-40.3,-4427.88,4427.88,5.90384
-40.2,-4584.47,4584.47,6.112626666666667
-40.1,-4229.23,4229.23,5.6389733333333325
-40.0,-4645.94,4645.94,6.194586666666666
-39.9,-4727.46,4727.46,6.30328
-39.8,-5002.07,5002.07,6.669426666666666
-39.7,-5184.44,5184.44,6.912586666666666
-39.6,-4914.55,4914.55,6.552733333333333
-39.5,-4432.54,4432.54,5.910053333333333
-39.4,-4671.61,4671.61,6.228813333333333
-39.3,-4696.67,4696.67,6.262226666666667
-39.2,-4983.59,4983.59,6.644786666666667
-39.1,-4962.85,4962.85,6.617133333333334
-39.0,-4809.58,4809.58,6.412773333333333
-38.9,-4592.63,4592.63,6.123506666666667
-38.8,-4857.74,4857.74,6.476986666666666
-38.7,-4960.1,4960.1,6.6134666666666675
-38.6,-5092.32,5092.32,6.789759999999999
-38.5,-4955.38,4955.38,6.607173333333334
-38.4,-4880.51,4880.51,6.507346666666667
-38.3,-5014.27,5014.27,6.685693333333334
-38.2,-4916.52,4916.52,6.55536
-38.1,-4866.16,4866.16,6.488213333333333
-38.0,-4973.44,4973.44,6.6312533333333326
-37.9,-5021.29,5021.29,6.695053333333333
-37.8,-4972.76,4972.76,6.630346666666667
-37.7,-4742.76,4742.76,6.32368
-37.6,-4978.1,4978.1,6.6374666666666675
-37.5,-4778.08,4778.08,6.370773333333333
-37.4,-4695.23,4695.23,6.260306666666666
-37.3,-4690.17,4690.17,6.25356
-37.2,-4873.37,4873.37,6.497826666666667
-37.1,-5236.98,5236.98,6.982639999999999
-37.0,-5310.06,5310.06,7.080080000000001
-36.9,-5327.91,5327.91,7.10388
-36.8,-5020.15,5020.15,6.693533333333333
-36.7,-5093.44,5093.44,6.791253333333333
-36.6,-5295.78,5295.78,7.061039999999999
-36.5,-5672.71,5672.71,7.5636133333333335
-36.4,-5458.56,5458.56,7.27808
-36.3,-5668.4,5668.4,7.5578666666666665
-36.2,-5766.36,5766.36,7.688479999999999
-36.1,-5432.31,5432.31,7.243080000000001
-36.0,-5390.34,5390.34,7.18712
-35.9,-5246.54,5246.54,6.995386666666667
-35.8,-5116.87,5116.87,6.822493333333333
-35.7,-5037.13,5037.13,6.716173333333334
-35.6,-5039.31,5039.31,6.719080000000001
-35.5,-5110.39,5110.39,6.813853333333334
-35.4,-5192.62,5192.62,6.923493333333333
-35.3,-5235.54,5235.54,6.98072
-35.2,-5258.06,5258.06,7.010746666666667
-35.1,-5313.89,5313.89,7.085186666666667
-35.0,-5353.04,5353.04,7.137386666666667
