distance_bin,median,q25,q75,count,distance_mid_km
"[0, 100)",90.65,40.75,151.0,404,50.0
"[100, 200)",64.75999999999999,36.05,116.6455,702,150.0
"[200, 300)",55.2,39.8,81.0,196,250.0
"[300, 400)",82.95,28.0,123.225,56,350.0
"[400, 500)",67.0,24.0,68.0,9,450.0
"[500, 600)",52.794,35.0,106.0,21,550.0
"[600, 700)",55.5,49.0,63.5,8,650.0
"[700, 800)",57.0,30.0,74.0,13,750.0
"[800, 900)",57.0,50.0,81.07900000000001,16,850.0
"[900, 1000)",47.35,27.75,70.5,14,950.0
"[1000, 1100)",40.0,30.0,50.0,6,1050.0
"[1100, 1200)",54.0,29.0,61.5489,47,1150.0
"[1200, 1300)",66.0,49.0,81.0,189,1250.0
"[1300, 1400)",53.0,43.0,62.0,197,1350.0
"[1400, 1500)",52.0,36.0,60.0,156,1450.0
"[1500, 1600)",57.0,52.95,63.25,64,1550.0
"[1600, 1700)",50.5,41.875,58.0,18,1650.0
"[1700, 1800)",49.05,46.0,51.25,28,1750.0
"[1800, 1900)",54.5,46.25,64.25,18,1850.0
"[1900, 2000)",57.0,39.5,75.9195,15,1950.0
