lon,lat,anomaly_nT,source,dist_km_from_axis
-46.0,26,19.6468,EMAG2v3,-199.88267609360403
-45.75,26,7.26298,EMAG2v3,-174.89734158190353
-45.5,26,-8.46563,EMAG2v3,-149.91200707020303
-45.25,26,-34.6758,EMAG2v3,-124.92667255850249
-45.0,26,-32.3881,EMAG2v3,-99.94133804680202
-44.75,26,65.1268,EMAG2v3,-74.95600353510152
-44.5,26,-6.91682,EMAG2v3,-49.97066902340101
-44.25,26,7.1796,EMAG2v3,-24.985334511700504
-44.0,26,1.5625,EMAG2v3,0.0
-43.75,26,-0.310371,EMAG2v3,24.985334511700504
-43.5,26,1.31536,EMAG2v3,49.97066902340101
-43.25,26,19.5481,EMAG2v3,74.95600353510152
-43.0,26,3.31756,EMAG2v3,99.94133804680202
-42.75,26,18.6836,EMAG2v3,124.92667255850249
-42.5,26,-15.3927,EMAG2v3,149.91200707020303
-42.25,26,-15.5452,EMAG2v3,174.89734158190353
-42.0,26,4.93566,EMAG2v3,199.88267609360403
