lon,lat,anomaly_nT,source,dist_km_from_axis
-50,26,9.71511,EMAG2v3,-599.6480282808121
-49,26,-21.3173,EMAG2v3,-499.70669023400995
-48,26,-19.2901,EMAG2v3,-399.76535218720807
-47,26,-12.9524,EMAG2v3,-299.82401414040606
-46,26,19.6468,EMAG2v3,-199.88267609360403
-45,26,-32.3881,EMAG2v3,-99.94133804680202
-44,26,1.5625,EMAG2v3,0.0
-43,26,3.31756,EMAG2v3,99.94133804680202
-42,26,4.93566,EMAG2v3,199.88267609360403
-41,26,-7.5599,EMAG2v3,299.82401414040606
-40,26,-7.43684,EMAG2v3,399.76535218720807
-39,26,76.4211,EMAG2v3,499.70669023400995
-38,26,19.9955,EMAG2v3,599.6480282808121
-37,26,35.6494,EMAG2v3,699.5893663276141
-36,26,31.4171,EMAG2v3,799.5307043744161
-35,26,-32.399,EMAG2v3,899.472042421218
