lat,lon,depth_m
10.0,-41.7,-3451.24
10.1,-41.1,-3411.63
10.2,-41.1,-2822.65
10.3,-41.1,-2503.18
10.4,-41.1,-2568.86
10.5,-41.1,-2359.11
10.6,-41.1,-2530.16
10.7,-42.5,-1525.83
10.8,-42.7,-3190.79
10.9,-43.4,-3315.99
11.0,-43.5,-3237.73
11.1,-43.5,-3018.14
11.2,-43.5,-2853.86
11.3,-43.5,-2864.36
11.4,-43.5,-2866.59
11.5,-43.5,-2576.93
11.6,-44.0,-2698.25
11.7,-44.0,-2973.32
11.8,-44.0,-2716.82
11.9,-44.0,-2163.93
12.0,-43.5,-2917.43
12.1,-43.9,-3567.72
12.2,-44.0,-2661.09
12.3,-44.0,-2434.4
12.4,-44.2,-2613.26
12.5,-44.3,-2538.48
12.6,-44.3,-3384.96
12.7,-44.5,-2969.25
12.8,-44.6,-2456.7
12.9,-44.6,-2710.0
13.0,-44.6,-2610.26
13.1,-44.6,-2818.63
13.2,-45.0,-2826.95
13.3,-44.7,-2752.05
13.4,-44.7,-2687.67
13.5,-44.7,-2691.6
13.6,-44.8,-2749.68
13.7,-44.9,-2852.5
13.8,-44.9,-2465.49
13.9,-44.9,-2691.35
14.0,-44.9,-2490.72
14.1,-45.1,-2379.8
14.2,-45.2,-2449.06
14.3,-45.1,-2194.09
14.4,-44.9,-2365.69
14.5,-45.2,-2479.33
14.6,-45.2,-2467.92
14.7,-45.2,-2207.35
14.8,-48.2,-1998.89
14.9,-48.7,-1570.55
15.0,-48.7,-1909.87
15.1,-48.7,-2197.08
15.2,-48.2,-2641.03
15.3,-47.7,-2747.76
15.4,-46.9,-3246.48
15.5,-46.9,-2573.2
15.6,-46.9,-2675.9
15.7,-46.9,-2513.57
15.8,-46.8,-2627.76
15.9,-46.8,-2643.47
16.0,-46.8,-2618.42
16.1,-46.8,-2417.89
16.2,-46.5,-2260.96
16.3,-46.5,-2619.59
16.4,-46.7,-2643.35
16.5,-46.6,-2707.23
16.6,-46.5,-2654.32
16.7,-46.3,-2361.14
16.8,-46.6,-2761.68
16.9,-46.6,-2613.39
17.0,-46.3,-2708.05
17.1,-46.3,-2602.56
17.2,-46.3,-2685.13
17.3,-46.7,-2616.12
17.4,-46.7,-2394.21
17.5,-46.7,-3018.73
17.6,-46.8,-3043.11
17.7,-46.8,-2793.56
17.8,-46.8,-3071.75
17.9,-46.8,-3079.59
18.0,-46.4,-2666.36
18.1,-46.4,-2660.07
18.2,-46.4,-2549.32
18.3,-46.4,-2566.98
18.4,-46.4,-2807.6
18.5,-46.4,-2926.11
18.6,-46.5,-2665.6
18.7,-46.5,-2311.24
18.8,-46.5,-2597.09
18.9,-46.3,-3013.61
19.0,-46.3,-2976.26
19.1,-46.3,-2405.05
19.2,-46.3,-2049.76
19.3,-45.8,-2283.2
19.4,-45.8,-2709.44
19.5,-45.8,-2319.77
19.6,-45.8,-2523.46
19.7,-45.8,-2647.76
19.8,-45.8,-3016.24
19.9,-45.8,-2937.37
20.0,-45.9,-2730.06
20.1,-46.0,-2587.24
20.2,-46.0,-2516.67
20.3,-46.0,-2686.76
20.4,-45.9,-2538.86
20.5,-45.9,-2371.57
20.6,-46.0,-2796.7
20.7,-46.0,-2599.28
20.8,-46.0,-2665.7
20.9,-46.0,-2506.99
21.0,-46.0,-2402.44
21.1,-46.0,-2357.21
21.2,-46.0,-2512.14
21.3,-46.0,-2555.85
21.4,-46.0,-2505.27
21.5,-45.4,-2347.62
21.6,-45.4,-2538.97
21.7,-45.6,-2398.26
21.8,-45.6,-2548.55
21.9,-45.4,-2253.82
22.0,-45.5,-2840.73
22.1,-45.5,-2868.44
22.2,-45.5,-2872.01
22.3,-45.4,-2492.54
22.4,-45.3,-2745.6
22.5,-45.2,-2560.79
22.6,-45.2,-2425.72
22.7,-45.1,-2224.42
22.8,-45.1,-2635.69
22.9,-45.1,-2404.32
23.0,-45.1,-2117.01
23.1,-45.1,-2454.24
23.2,-45.1,-2753.53
23.3,-45.1,-2836.16
23.4,-45.1,-2907.48
23.5,-45.3,-2009.77
23.6,-45.5,-3159.77
23.7,-45.9,-3278.58
23.8,-46.1,-3670.09
23.9,-46.1,-2760.16
24.0,-46.1,-2524.11
24.1,-46.1,-2507.87
24.2,-46.1,-2720.94
24.3,-46.0,-2458.84
24.4,-46.0,-2483.11
24.5,-46.0,-2887.34
24.6,-45.8,-3266.64
24.7,-45.8,-3122.43
24.8,-45.7,-3225.01
24.9,-45.7,-2922.7
25.0,-45.7,-2657.02
25.1,-45.7,-1699.54
25.2,-45.1,-1874.95
25.3,-45.1,-2310.5
25.4,-45.1,-2672.65
25.5,-45.1,-2680.8
25.6,-45.1,-3024.16
25.7,-44.9,-2241.04
25.8,-44.8,-2191.54
25.9,-44.7,-3028.97
26.0,-44.8,-2615.3
26.1,-44.7,-2580.0
26.2,-44.7,-2538.44
26.3,-44.7,-2586.45
26.4,-44.7,-2636.42
26.5,-44.4,-2595.67
26.6,-44.4,-2644.46
26.7,-44.4,-2624.17
26.8,-44.4,-2565.79
26.9,-44.3,-2602.56
27.0,-44.3,-2318.57
27.1,-44.3,-2620.64
27.2,-44.3,-2873.36
