lat,lon,depth_m
20.0,-46.1,-2730.06
20.1,-45.8,-2587.24
20.2,-45.8,-2516.67
20.3,-45.9,-2686.76
20.4,-46.0,-2538.86
20.5,-46.0,-2371.57
20.6,-46.3,-2796.7
20.7,-45.4,-2599.28
20.8,-45.5,-2665.7
20.9,-46.0,-2506.99
21.0,-46.0,-2402.44
21.1,-46.0,-2357.21
21.2,-46.1,-2512.14
21.3,-45.3,-2555.85
21.4,-46.1,-2505.27
21.5,-46.1,-2347.62
21.6,-45.4,-2538.97
21.7,-45.4,-2398.26
21.8,-45.1,-2548.55
21.9,-45.6,-2253.82
22.0,-45.8,-2840.73
22.1,-45.7,-2868.44
22.2,-45.4,-2872.01
22.3,-45.5,-2492.54
22.4,-45.3,-2745.6
22.5,-44.8,-2560.79
22.6,-44.9,-2425.72
22.7,-45.2,-2224.42
22.8,-45.2,-2635.69
22.9,-45.1,-2404.32
23.0,-45.1,-2117.01
23.1,-45.1,-2454.24
23.2,-44.7,-2753.53
23.3,-44.6,-2836.16
23.4,-45.3,-2907.48
23.5,-45.1,-2009.77
23.6,-45.5,-3159.77
23.7,-45.9,-3278.58
23.8,-47.0,-3799.93
23.9,-46.1,-2760.16
24.0,-46.1,-2524.11
24.1,-46.5,-2507.87
24.2,-46.4,-2720.94
24.3,-46.0,-2458.84
24.4,-46.0,-2483.11
24.5,-45.8,-2887.34
24.6,-45.8,-3266.64
24.7,-45.7,-3122.43
24.8,-46.1,-3225.01
24.9,-44.8,-2922.7
25.0,-44.8,-2657.02
25.1,-45.7,-1699.54
25.2,-45.7,-1874.95
25.3,-45.7,-2310.5
25.4,-45.1,-2672.65
25.5,-45.1,-2680.8
25.6,-44.2,-3024.16
25.7,-44.8,-2241.04
25.8,-44.9,-2191.54
25.9,-45.3,-3028.97
26.0,-44.7,-2615.3
26.1,-44.7,-2580.0
26.2,-44.4,-2538.44
26.3,-44.9,-2586.45
26.4,-44.4,-2636.42
26.5,-44.4,-2595.67
26.6,-44.9,-2644.46
26.7,-45.1,-2624.17
26.8,-44.1,-2565.79
26.9,-44.3,-2602.56
27.0,-44.3,-2318.57
27.1,-44.7,-2620.64
27.2,-44.1,-2873.36
27.3,-44.5,-2592.25
27.4,-43.7,-2583.45
27.5,-44.6,-2287.13
27.6,-43.9,-2344.33
27.7,-43.9,-2173.6
27.8,-44.3,-2482.33
27.9,-44.3,-2320.18
28.0,-44.3,-2297.26
28.1,-44.2,-2574.89
28.2,-44.7,-2809.67
28.3,-44.0,-2522.98
28.4,-43.9,-2440.9
28.5,-44.1,-2584.17
28.6,-43.2,-2527.3
28.7,-43.1,-2020.43
28.8,-43.6,-2654.85
28.9,-44.2,-2595.14
29.0,-42.8,-2524.96
29.1,-43.0,-2184.75
29.2,-43.0,-2077.63
29.3,-43.7,-2476.79
29.4,-43.7,-2722.74
29.5,-42.7,-2084.61
29.6,-43.0,-2194.61
29.7,-42.5,-2023.88
29.8,-42.7,-1919.59
29.9,-42.5,-1830.49
30.0,-43.3,-2796.37
