lon,lat,depth_m,source
-45.5,26,-3445.87,ETOPO_2022_v1_15s_bed_elev
-45.4,26,-3799.08,ETOPO_2022_v1_15s_bed_elev
-45.3,26,-3641.65,ETOPO_2022_v1_15s_bed_elev
-45.2,26,-3635.64,ETOPO_2022_v1_15s_bed_elev
-45.1,26,-3084.0,ETOPO_2022_v1_15s_bed_elev
-45.0,26,-3982.18,ETOPO_2022_v1_15s_bed_elev
-44.98,26,-3743.67,ETOPO_2022_v1_15s_bed_elev
-44.96,26,-3820.43,ETOPO_2022_v1_15s_bed_elev
-44.94,26,-4111.98,ETOPO_2022_v1_15s_bed_elev
-44.92,26,-4379.7,ETOPO_2022_v1_15s_bed_elev
-44.9,26,-4375.2,ETOPO_2022_v1_15s_bed_elev
-44.88,26,-4016.42,ETOPO_2022_v1_15s_bed_elev
-44.86,26,-4064.95,ETOPO_2022_v1_15s_bed_elev
-44.84,26,-4005.25,ETOPO_2022_v1_15s_bed_elev
-44.82,26,-3593.49,ETOPO_2022_v1_15s_bed_elev
-44.8,26,-3349.08,ETOPO_2022_v1_15s_bed_elev
-44.78,26,-3140.72,ETOPO_2022_v1_15s_bed_elev
-44.76,26,-3526.67,ETOPO_2022_v1_15s_bed_elev
-44.74,26,-3203.77,ETOPO_2022_v1_15s_bed_elev
-44.72,26,-3020.51,ETOPO_2022_v1_15s_bed_elev
-44.7,26,-2570.03,ETOPO_2022_v1_15s_bed_elev
-44.68,26,-2645.32,ETOPO_2022_v1_15s_bed_elev
-44.66,26,-2571.67,ETOPO_2022_v1_15s_bed_elev
-44.64,26,-3042.05,ETOPO_2022_v1_15s_bed_elev
-44.62,26,-3346.25,ETOPO_2022_v1_15s_bed_elev
-44.6,26,-3501.74,ETOPO_2022_v1_15s_bed_elev
-44.58,26,-3645.44,ETOPO_2022_v1_15s_bed_elev
-44.56,26,-3865.98,ETOPO_2022_v1_15s_bed_elev
-44.54,26,-3602.75,ETOPO_2022_v1_15s_bed_elev
-44.52,26,-3261.95,ETOPO_2022_v1_15s_bed_elev
-44.5,26,-3112.08,ETOPO_2022_v1_15s_bed_elev
-44.48,26,-3502.17,ETOPO_2022_v1_15s_bed_elev
-44.46,26,-3786.65,ETOPO_2022_v1_15s_bed_elev
-44.44,26,-3445.15,ETOPO_2022_v1_15s_bed_elev
-44.42,26,-3126.0,ETOPO_2022_v1_15s_bed_elev
-44.4,26,-2906.59,ETOPO_2022_v1_15s_bed_elev
-44.3,26,-3358.45,ETOPO_2022_v1_15s_bed_elev
-44.2,26,-3266.56,ETOPO_2022_v1_15s_bed_elev
-44.1,26,-2816.68,ETOPO_2022_v1_15s_bed_elev
-44.0,26,-3353.89,ETOPO_2022_v1_15s_bed_elev
-43.9,26,-3853.5,ETOPO_2022_v1_15s_bed_elev
-43.8,26,-3878.62,ETOPO_2022_v1_15s_bed_elev
-43.7,26,-3621.5,ETOPO_2022_v1_15s_bed_elev
-43.6,26,-3977.0,ETOPO_2022_v1_15s_bed_elev
-43.5,26,-3614.03,ETOPO_2022_v1_15s_bed_elev
