lon,lat,depth_m,source,dist_km,slope_m_per_km
-51.0,26.0,-4990.14,ETOPO_2022_v1_15s_bed_elev,0.0,-19.270304336910883
-50.9,26.0,-5182.73,ETOPO_2022_v1_15s_bed_elev,9.994133804680342,-1.147172954061375
-50.8,26.0,-5013.07,ETOPO_2022_v1_15s_bed_elev,19.988267609360683,8.44545426842987
-50.7,26.0,-5013.92,ETOPO_2022_v1_15s_bed_elev,29.982401414040318,16.052916954630064
-50.6,26.0,-4692.2,ETOPO_2022_v1_15s_bed_elev,39.97653521872066,25.074709314242085
-50.5,26.0,-4512.72,ETOPO_2022_v1_15s_bed_elev,49.97066902340101,8.280857712875815
-50.4,26.0,-4526.68,ETOPO_2022_v1_15s_bed_elev,59.96480282808134,-9.896805659503912
-50.3,26.0,-4710.54,ETOPO_2022_v1_15s_bed_elev,69.95893663276169,-10.76131279627569
-50.2,26.0,-4741.78,ETOPO_2022_v1_15s_bed_elev,79.95307043744133,3.8182398540757845
-50.1,26.0,-4634.22,ETOPO_2022_v1_15s_bed_elev,89.94720424212167,-11.485237464626039
-50.0,26.0,-4971.35,ETOPO_2022_v1_15s_bed_elev,99.94133804680202,-18.84555517075387
-49.9,26.0,-5010.91,ETOPO_2022_v1_15s_bed_elev,109.93547185148235,30.170198427681015
-49.8,26.0,-4368.3,ETOPO_2022_v1_15s_bed_elev,119.92960565616268,28.743861710702134
-49.7,26.0,-4436.37,ETOPO_2022_v1_15s_bed_elev,129.9237394608423,-10.316551890841822
-49.6,26.0,-4574.51,ETOPO_2022_v1_15s_bed_elev,139.91787326552267,-11.169552277529306
-49.5,26.0,-4659.63,ETOPO_2022_v1_15s_bed_elev,149.91200707020303,-8.3904219854181
-49.4,26.0,-4742.22,ETOPO_2022_v1_15s_bed_elev,159.90614087488333,-14.242354843532382
-49.3,26.0,-4944.31,ETOPO_2022_v1_15s_bed_elev,169.9002746795637,-15.429551276148231
-49.2,26.0,-5050.63,ETOPO_2022_v1_15s_bed_elev,179.89440848424334,11.966019500757994
-49.1,26.0,-4705.13,ETOPO_2022_v1_15s_bed_elev,189.88854228892365,36.30980003790401
-49.0,26.0,-4324.86,ETOPO_2022_v1_15s_bed_elev,199.88267609360403,19.6195091872967
-48.9,26.0,-4312.97,ETOPO_2022_v1_15s_bed_elev,209.87680989828436,-15.936848866823283
-48.8,26.0,-4643.41,ETOPO_2022_v1_15s_bed_elev,219.8709437029647,-34.5177487856385
-48.7,26.0,-5002.92,ETOPO_2022_v1_15s_bed_elev,229.86507750764432,-8.186302244793751
-48.6,26.0,-4807.04,ETOPO_2022_v1_15s_bed_elev,239.8592113123247,17.75941802148779
-48.5,26.0,-4647.94,ETOPO_2022_v1_15s_bed_elev,249.85334511700498,19.07619046592282
-48.4,26.0,-4425.74,ETOPO_2022_v1_15s_bed_elev,259.84747892168537,24.04310415450604
-48.3,26.0,-4167.36,ETOPO_2022_v1_15s_bed_elev,269.8416127263657,5.875946945245602
-48.2,26.0,-4308.29,ETOPO_2022_v1_15s_bed_elev,279.83574653104534,-1.803057708870199
-48.1,26.0,-4203.4,ETOPO_2022_v1_15s_bed_elev,289.82988033572565,0.8860197564949601
-48.0,26.0,-4290.58,ETOPO_2022_v1_15s_bed_elev,299.82401414040606,-13.874138840833353
-47.9,26.0,-4480.72,ETOPO_2022_v1_15s_bed_elev,309.8181479450863,5.710349802728388
-47.8,26.0,-4176.44,ETOPO_2022_v1_15s_bed_elev,319.81228174976667,14.889234315665021
-47.7,26.0,-4183.11,ETOPO_2022_v1_15s_bed_elev,329.80641555444635,4.4606166848717805
-47.6,26.0,-4087.28,ETOPO_2022_v1_15s_bed_elev,339.80054935912665,11.870963739192575
-47.5,26.0,-3945.83,ETOPO_2022_v1_15s_bed_elev,349.79468316380706,8.529003279912132
-47.4,26.0,-3916.8,ETOPO_2022_v1_15s_bed_elev,359.78881696848737,-6.036040859463924
-47.3,26.0,-4066.48,ETOPO_2022_v1_15s_bed_elev,369.78295077316767,-6.919058855066879
-47.2,26.0,-4055.1,ETOPO_2022_v1_15s_bed_elev,379.7770845778473,8.889214586900238
-47.1,26.0,-3888.8,ETOPO_2022_v1_15s_bed_elev,389.77121838252765,0.06954079398809654
-47.0,26.0,-4053.71,ETOPO_2022_v1_15s_bed_elev,399.76535218720807,7.374826217104243
-46.9,26.0,-3741.39,ETOPO_2022_v1_15s_bed_elev,409.7594859918883,25.715585264592278
-46.8,26.0,-3539.7,ETOPO_2022_v1_15s_bed_elev,419.7536197965687,-6.909553278912966
-46.7,26.0,-3879.5,ETOPO_2022_v1_15s_bed_elev,429.74775360124835,-18.41480248281556
-46.6,26.0,-3907.78,ETOPO_2022_v1_15s_bed_elev,439.7418874059287,-4.349551531883918
-46.5,26.0,-3966.44,ETOPO_2022_v1_15s_bed_elev,449.736021210609,-1.5419045113027607
-46.4,26.0,-3938.6,ETOPO_2022_v1_15s_bed_elev,459.73015501528937,29.47929312913783
-46.3,26.0,-3377.2,ETOPO_2022_v1_15s_bed_elev,469.7242888199698,16.041410204543553
-46.2,26.0,-3617.96,ETOPO_2022_v1_15s_bed_elev,479.7184226246494,-24.845074606038025
-46.1,26.0,-3873.81,ETOPO_2022_v1_15s_bed_elev,489.71255642932965,-22.417150338239594
-46.0,26.0,-4066.04,ETOPO_2022_v1_15s_bed_elev,499.70669023400995,-6.22465150215092
-45.9,26.0,-3998.23,ETOPO_2022_v1_15s_bed_elev,509.7008240386903,7.52641514212803
-45.8,26.0,-3915.6,ETOPO_2022_v1_15s_bed_elev,519.6949578433707,-9.972850268758663
-45.7,26.0,-4197.57,ETOPO_2022_v1_15s_bed_elev,529.6890916480504,12.99362231263774
-45.6,26.0,-3655.88,ETOPO_2022_v1_15s_bed_elev,539.6832254527307,37.188315392170296
-45.5,26.0,-3454.24,ETOPO_2022_v1_15s_bed_elev,549.677359257411,10.737799002625252
-45.4,26.0,-3441.25,ETOPO_2022_v1_15s_bed_elev,559.6714930620914,-0.9490567352178232
-45.3,26.0,-3473.21,ETOPO_2022_v1_15s_bed_elev,569.6656268667717,-4.275508096558781
-45.2,26.0,-3526.71,ETOPO_2022_v1_15s_bed_elev,579.6597606714513,12.847036322433667
-45.1,26.0,-3216.42,ETOPO_2022_v1_15s_bed_elev,589.6538944761317,-11.267109506504767
-45.0,26.0,-3751.92,ETOPO_2022_v1_15s_bed_elev,599.6480282808121,-50.18343858525512
-44.9,26.0,-4219.5,ETOPO_2022_v1_15s_bed_elev,609.6421620854924,13.46539906609803
